
 id 	name 	crosscomb 	orig 	year 	breeder c id 	name 	crosscomb 	orig 	year 	breeder code 	breeder 	reference
316 	 find progeny of 3075AC(6)       3075AC(6) 	2182EF(7) x 2221B(1) 	 GB 			SCOTTISH PLANT BREEDING STATION 	
317 	 find progeny of 3090-4       3090-4 	2827-40 x 2497-6 	 SU 				
156 	 find progeny of 311.9       311.9 	USW 29 x 1386 	 PER 				
318 	 find progeny of 3146A(3)       3146A(3) 	CRAIGS ROYAL x 2499B(46) 	 GB 			SCOTTISH PLANT BREEDING STATION 	
157 	 find progeny of 315-17       315-17 	20-2 x DOBRO 	 SU 				
158 	 find progeny of 316.3       316.3 	1386 x 1339 	 PER 				
319 	 find progeny of 3161AB(4)       3161AB(4) 	2182EF(7) x 2363D(6) 	 GB 			SCOTTISH PLANT BREEDING STATION 	
320 	 find progeny of 3199-16       3199-16 	((dms x 2064-9) x 2726C/49) x 2814-77 	 SU 				
52 	 find progeny of 32-56       32-56 	386-48 x AGRA 	 SU 				
321 	 find progeny of 3234D(1)       3234D(1) 	C3399 x 11-79 	 GB 			SCOTTISH PLANT BREEDING STATION 	
322 	 find progeny of 3234D(4)       3234D(4) 	C3399 x 11-79 	 GB 			SCOTTISH PLANT BREEDING STATION 	
323 	 find progeny of 3261(49)       3261(49) 	V 23/13 x ULSTER KNIGHT 	 GB 			SCOTTISH PLANT BREEDING STATION 	
324 	 find progeny of 3262(23)       3262(23) 	V 24/20 x ULSTER KNIGHT 	 GB 			SCOTTISH PLANT BREEDING STATION 	
159 	 find progeny of 327/73       327/73 	251/67 x 223/62 	 BRD 				
160 	 find progeny of 328-22       328-22 	33-38 x KAMERAZ 	 SU 				
53 	 find progeny of 33-29       33-29 	55D (chc) x AGRA 	 SU 				
54 	 find progeny of 33-38       33-38 	55D (chc) x AGRA 	 SU 				
325 	 find progeny of 3305(6)       3305(6) 	M 109-3 x M. RU. 18 	 GB 			SCOTTISH PLANT BREEDING STATION 	
326 	 find progeny of 3310-22       3310-22 	MINSKY RANNY x 2497-9 	 SU 				
327 	 find progeny of 3312       3312 	ACKERSEGEN x MPI 44.335/37 	 BRD 				
328 	 find progeny of 3323(4)       3323(4) 	M 136-6 x ROSLIN EBURU 	 GB 			SCOTTISH PLANT BREEDING STATION 	
161 	 find progeny of 333-1       333-1 	dms x EARLAINE 	 CAN 				
329 	 find progeny of 3367-52       3367-52 	ERNE x PRIEKULSKY RANNY 	 SU 				
330 	 find progeny of 3392(1)       3392(1) 	2573(2) x M 109-3 	 GB 			SCOTTISH PLANT BREEDING STATION 	
55 	 find progeny of 33E-70       33E-70 	chc x AGRA 	 SU 				
162 	 find progeny of 346/73/2289       346/73/2289 	HELA x VTN 62-66-5 	 BRD 		BM 346-73 	KARTOFFELZUCHT BOHM 	
9474 	 find progeny of 35/84       35/84 	PENTLAND CROWN x VRT 	 GB 			CAITHNESS POTATO BREEDERES LTD. 	
163 	 find progeny of 350-68       350-68 	SAPHIR x KATAHDIN 	 SU 				
331 	 find progeny of 3617-1       3617-1 	2814-83 x BELORUSSKY KRACHMALISTY 	 SU 				
332 	 find progeny of 3681AD(1)       3681AD(1) 	DORITA seedling 	 GB 			SCOTTISH PLANT BREEDING STATION 	
164 	 find progeny of 370-57       370-57 	1968-49 x KATAHDIN 	 SU 				
